valor_liquidado,valor_pago,valor_empenhado,cod_fonte,cod_credor,cod_modalidade_licitacao,cod_empenho,cod_acao,cod_tempo,codigo
0,0,30000,0,3675,71,64764,122,20210101,5506
800,0,0,0,4621,3,8006,121,20210601,6583
0,3180,0,0,3048,64,88181,77,20210501,4472
0,400,0,0,3278,71,7177,41,20210701,4885
2300,2300,0,0,5045,30,65538,121,20210501,8544
54013.75,54013.75,0,0,5472,31,65857,77,20210501,9928
12156.87,12156.87,12156.87,0,0,0,232,77,20211001,231
0,0,2190,0,4587,3,7937,127,20210801,6406
0,1200,0,0,3125,64,88376,77,20210501,4667
0,0,0,0,299,39,38959,127,20211201,1490
11775.53,11775.53,11775.53,0,0,0,1102,135,20210601,1101
0,2250,0,0,4790,30,65238,30,20210501,7465
0,5199.3,0,0,4338,71,7696,121,20211101,5947
-1530,0,-1530,0,5128,71,8786,131,20210401,8910
0,2602.38,0,0,4771,30,65220,98,20211201,7396
10000,10000,0,0,1269,40,6413,110,20210401,2758
0,344.8,0,0,3497,71,64426,121,20210501,5044
6236.6,6236.6,6236.6,0,0,0,259,77,20210301,258
759.45,759.45,759.45,0,0,0,681,99,20210301,680
0,3180,0,0,2761,64,87538,77,20210501,3829
199613.75,199613.75,0,0,5472,31,65858,77,20210501,9929
0,500,0,0,3113,72,88350,121,20210901,4641
2720,0,2720,0,3122,64,88364,77,20210401,4655
496.13,496.13,496.13,0,0,0,454,87,20210601,453
0,24774.45,0,0,5291,30,9058,121,20210701,9572
3050,0,3050,0,693,71,6183,32,20211101,2041
1500,1500,0,0,1294,40,6430,110,20210401,2775
135,135,0,0,5134,71,40549,111,20210601,8959
-1000,0,-1000,0,5128,71,8787,131,20210401,8911
1009.68,1009.68,1009.68,0,4510,71,7766,98,20210701,6078
0,2436,0,0,5252,3,9020,99,20211201,9484
10000,10000,10000,0,917,40,6244,94,20211201,2589
534.99,534.99,0,0,5134,71,40535,121,20210601,8945
18356.4,18356.4,18356.4,0,0,0,786,84,20210101,785
0,0,-118.4,0,232,39,38884,138,20211201,1404
500,500,500,0,3015,64,88114,72,20210201,4405
0,0,10155852.9,0,4954,30,65379,68,20211101,8158
3520,0,3520,0,2700,64,87390,77,20210401,3681
0,418,0,0,3754,71,7426,77,20211101,5664
0,7713.53,0,0,4573,30,7902,32,20210501,6345
0,4004.06,0,0,831,16,64303,77,20211001,2505
1166.6,1166.6,0,0,4767,3,8287,95,20210801,7380
2400,0,2400,0,3122,64,88365,77,20210401,4656
198006.74,198006.74,198006.74,0,0,0,607,61,20211101,606
0,2400,0,0,3125,64,88378,77,20210501,4669
0,0,12604.12,0,5376,30,40875,44,20210701,9805
0,660,0,0,4805,71,8354,100,20210701,7575
179.2,0,0,0,573,39,39202,138,20211001,1854
384.8,384.8,384.8,0,497,3,6089,113,20210401,1778
344.8,0,0,0,3537,71,64604,121,20211001,5222
1200,1200,1200,0,3080,64,88262,77,20211001,4553
264.74,264.74,264.74,0,5202,71,8913,98,20210801,9249
1441.33,0,0,0,5045,3,65546,121,20211201,8552
0,0,0,0,5361,30,40836,122,20210201,9731
1500,1500,1500,0,1450,40,6482,110,20210401,2827
344.8,0,0,0,3535,71,64597,121,20211201,5215
0,45000,0,0,845,16,64342,77,20210301,2549
3061953.09,3061953.09,3061953.09,0,0,0,1064,44,20210501,1063
120,0,0,0,387,39,39066,138,20211101,1630
380152.71,380152.71,380152.71,0,0,0,121,31,20210401,120
0,0,0,0,4507,71,7764,98,20210601,6070
140,0,140,0,4579,21,7920,121,20210201,6383
359.93,359.93,0,0,4862,30,65294,74,20210701,7905
690,0,690,0,333,39,6021,138,20211201,1547
0,0,13254.18,0,4508,71,64930,121,20210501,6071
4603.5,4603.5,4603.5,0,590,71,6142,32,20211101,1902
0,0,0,0,0,0,327,78,20210501,326
-22.5,-22.5,-22.5,0,0,0,949,92,20210901,948
0,0,22924.5,0,2600,71,7101,37,20211201,3451
-1200,0,-1200,0,2830,64,87700,77,20210501,3991
2720,2720,2720,0,3157,64,88431,78,20211001,4722
173.08,173.08,173.08,0,5202,71,8912,98,20210801,9248
5000,0,5000,0,275,41,6012,81,20210601,1461
1713.12,1713.12,1713.12,0,0,0,889,36,20210401,888
480,0,0,0,2099,71,6763,77,20211101,3109
74,74,0,0,182,3,5977,122,20211001,1329
1500,0,1500,0,1355,40,6454,110,20210301,2799
135,135,135,0,3248,71,7151,82,20210901,4859
240,0,0,0,387,39,39065,138,20211101,1629
5665,0,5665,0,4600,40,7969,110,20210301,6464
2209.03,2209.03,0,0,4472,71,64878,121,20211201,5994
2209.03,2209.03,0,0,4494,71,64908,121,20211201,6034
409.42,409.42,0,0,4862,30,65293,74,20210701,7904
787471.48,787471.48,787471.48,0,0,0,718,26,20210901,717
74,74,0,0,197,3,5989,122,20210601,1342
225060.57,225060.57,225060.57,0,0,0,402,33,20211001,401
432,0,432,0,3793,71,7494,77,20211201,5732
117.8,117.8,117.8,0,5202,71,8915,98,20210801,9251
5066.12,5066.12,0,0,3334,41,39391,50,20211001,4912
0,0,-276500,0,4618,30,65021,77,20211001,6574
0,0,1686.36,0,5147,31,40572,49,20211201,8998
0,618.6,0,0,4738,3,8250,121,20210901,7203
0,456,0,0,3790,71,7485,78,20211201,5723
262540.09,262540.09,262540.09,0,0,0,1037,44,20211201,1036
0,0,31500,0,5404,31,40896,132,20210401,9847
0,3180,0,0,3048,64,88182,77,20210501,4473
2404.43,2404.43,2404.43,0,0,0,94,29,20211001,93
500,0,500,0,3104,3,88335,121,20210401,4626
675,675,675,0,3238,71,7142,82,20211201,4850
0,0,635.4,0,4584,3,7930,100,20210201,6398
0,4543,0,0,5040,31,65501,93,20210601,8473
0,2720,0,0,3125,64,88375,77,20210501,4666
0,4471.4,0,0,4636,71,8144,32,20210901,6824
0,0,4766.38,0,4561,16,64953,77,20210201,6208
0,2400,0,0,3086,64,88290,77,20211101,4581
3023.4,3023.4,0,0,4862,30,65292,74,20210701,7903
0,0,99094.8,0,5073,31,65587,77,20210201,8711
865.8,865.8,865.8,0,497,3,6088,113,20210401,1777
0,344.8,0,0,3537,71,64603,121,20211001,5221
264.74,264.74,264.74,0,5202,71,8914,98,20210801,9250
0,0,5000,0,1725,40,6549,94,20211101,2894
0,0,1379.2,0,3531,71,64577,121,20210801,5195
0,0,-896,0,615,39,39319,138,20211201,1979
75000,0,75000,0,4550,71,7785,111,20210401,6129
9351.26,9351.26,9351.26,0,3943,71,7553,121,20210601,5804
1000,1000,1000,0,3260,71,7161,121,20210301,4869
0,3913.2,0,0,4744,30,65202,41,20210901,7298
0,0,-100000,0,4820,30,40140,122,20210801,7804
0,2720,0,0,2703,64,87399,77,20210501,3690
38995,38995,0,0,4723,30,65125,72,20211201,7141
0,156,0,0,4805,8,40021,100,20211001,7605
6067.2,6067.2,0,0,5045,30,40386,114,20211001,8584
120,0,0,0,387,39,39067,138,20211101,1631
0,0,4052.64,0,773,16,64093,122,20210501,2275
0,1342.16,0,0,5040,31,65502,93,20210601,8474
0,0,0,0,3911,71,7545,121,20210201,5796
4846.75,0,4846.75,0,4450,71,7733,121,20211201,5984
